               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                 102,            0.027038,            0.018985,           0.0040919,             0.90183,             0.88945,             0.92448,               0.569,            0.031048,            0.015112,           0.0039794,           0.0031689,           0.0031689,           0.0031689
                 103,             0.02643,             0.01921,           0.0037297,             0.90127,             0.88225,             0.92411,             0.56506,            0.032157,            0.015133,           0.0041739,           0.0030888,           0.0030888,           0.0030888
                 104,            0.026251,            0.019053,           0.0037471,             0.91508,             0.86515,             0.92525,             0.57332,             0.03144,            0.014838,           0.0042626,           0.0030097,           0.0030097,           0.0030097
                 105,            0.026567,            0.018325,           0.0041843,             0.90673,             0.88923,             0.92843,             0.56553,            0.031852,            0.014663,           0.0041582,           0.0029318,           0.0029318,           0.0029318
                 106,            0.026088,            0.018992,           0.0036376,             0.89323,             0.88167,             0.92006,             0.55553,             0.03146,            0.015117,           0.0040954,            0.002855,            0.002855,            0.002855
                 107,            0.025314,            0.018083,           0.0036288,             0.89322,             0.88383,              0.9212,             0.55848,            0.031382,            0.014934,             0.00394,           0.0027793,           0.0027793,           0.0027793
                 108,            0.026032,            0.018995,           0.0040909,             0.87982,             0.93091,             0.93405,             0.57245,            0.031482,            0.014521,           0.0034046,           0.0027048,           0.0027048,           0.0027048
                 109,            0.025562,            0.018643,           0.0034412,             0.87899,             0.88614,              0.9246,             0.57129,             0.03109,            0.014584,           0.0040528,           0.0026316,           0.0026316,           0.0026316
                 110,            0.025619,            0.018231,           0.0040315,             0.88174,             0.90021,             0.93332,             0.57801,             0.03128,            0.014745,           0.0037573,           0.0025596,           0.0025596,           0.0025596
                 111,            0.025666,            0.017502,           0.0038565,             0.91073,             0.86022,              0.9269,             0.57796,            0.031059,            0.014616,           0.0040577,           0.0024889,           0.0024889,           0.0024889
                 112,            0.025436,            0.018526,           0.0035979,             0.88644,             0.88375,             0.92598,             0.57706,            0.031159,            0.014645,            0.004096,           0.0024195,           0.0024195,           0.0024195
                 113,             0.02546,            0.017807,           0.0036204,             0.90491,             0.86488,             0.92684,             0.57913,            0.030869,            0.014458,           0.0043983,           0.0023515,           0.0023515,           0.0023515
                 114,             0.02566,            0.018779,           0.0035809,              0.9289,              0.8577,             0.92881,             0.57908,            0.031096,            0.014671,           0.0041847,           0.0022849,           0.0022849,           0.0022849
                 115,            0.024984,            0.018387,           0.0034585,             0.91758,             0.86636,             0.92782,             0.58069,            0.031179,            0.014495,           0.0039767,           0.0022196,           0.0022196,           0.0022196
                 116,            0.025463,            0.018728,           0.0034752,             0.89546,             0.88262,             0.92381,             0.57588,              0.0313,            0.014776,           0.0040645,           0.0021558,           0.0021558,           0.0021558
                 117,            0.024916,            0.018738,           0.0032629,             0.89704,             0.87247,             0.92499,             0.57511,            0.031504,            0.014726,           0.0040917,           0.0020935,           0.0020935,           0.0020935
                 118,            0.025051,            0.017919,           0.0035952,             0.87709,             0.88956,             0.92384,             0.56329,            0.031516,            0.014922,           0.0040758,           0.0020327,           0.0020327,           0.0020327
                 119,            0.024973,            0.017612,           0.0035077,             0.92077,             0.87406,             0.93139,             0.56931,            0.031257,            0.014713,           0.0042416,           0.0019734,           0.0019734,           0.0019734
                 120,            0.025437,            0.019393,           0.0035229,              0.8805,             0.90405,             0.92961,             0.57358,            0.031218,            0.014495,           0.0042733,           0.0019156,           0.0019156,           0.0019156
                 121,            0.025035,            0.017707,           0.0036157,              0.9188,             0.88819,             0.93021,             0.57907,            0.030745,            0.014586,           0.0042505,           0.0018594,           0.0018594,           0.0018594
                 122,            0.024671,            0.017968,            0.003616,             0.90747,             0.87881,             0.92558,             0.57413,            0.031682,            0.014524,           0.0039658,           0.0018048,           0.0018048,           0.0018048
                 123,             0.02557,            0.017508,           0.0037961,             0.89132,             0.89897,             0.92109,             0.56944,            0.031457,            0.014636,           0.0043171,           0.0017519,           0.0017519,           0.0017519
                 124,            0.024763,             0.01831,           0.0031503,             0.89942,             0.89301,             0.92269,             0.56722,            0.031512,            0.014771,           0.0045143,           0.0017005,           0.0017005,           0.0017005
                 125,             0.02538,             0.01826,           0.0034047,             0.90023,             0.88889,             0.92662,             0.57441,            0.031226,            0.014612,           0.0043342,           0.0016509,           0.0016509,           0.0016509
                 126,            0.025495,            0.018221,           0.0034588,             0.91615,             0.86078,             0.92073,             0.57162,            0.031307,            0.014554,           0.0046182,           0.0016029,           0.0016029,           0.0016029
                 127,            0.024591,            0.018189,           0.0036069,              0.8986,             0.87927,             0.92617,             0.57196,            0.031453,            0.014619,           0.0045971,           0.0015566,           0.0015566,           0.0015566
                 128,            0.024919,            0.018097,           0.0030842,             0.92224,              0.8609,             0.92715,             0.57849,            0.030802,            0.014579,           0.0041646,           0.0015121,           0.0015121,           0.0015121
                 129,            0.024505,            0.017815,           0.0032083,             0.91695,             0.86746,             0.92567,             0.57569,            0.031251,             0.01471,           0.0041965,           0.0014693,           0.0014693,           0.0014693
                 130,            0.024492,            0.017718,            0.003236,             0.89362,              0.8751,             0.92088,             0.57564,            0.030853,            0.014821,           0.0044383,           0.0014283,           0.0014283,           0.0014283
                 131,             0.02422,            0.018307,           0.0034414,             0.90193,             0.86357,             0.92578,             0.57336,            0.031232,            0.014696,           0.0041833,            0.001389,            0.001389,            0.001389
                 132,            0.024465,            0.017757,           0.0032343,             0.88937,             0.88161,             0.92671,             0.57492,            0.031234,            0.014789,           0.0041185,           0.0013516,           0.0013516,           0.0013516
                 133,            0.024269,            0.017453,           0.0030795,             0.91378,             0.87302,             0.92685,             0.57869,            0.031032,            0.014805,           0.0041206,            0.001316,            0.001316,            0.001316
                 134,            0.024372,             0.01752,           0.0031677,             0.92574,             0.87257,             0.93098,             0.57873,            0.030678,            0.014644,            0.004205,           0.0012822,           0.0012822,           0.0012822
                 135,            0.024423,            0.017865,           0.0031874,             0.89908,             0.88603,             0.93319,             0.58635,            0.030464,            0.014597,           0.0043784,           0.0012503,           0.0012503,           0.0012503
                 136,            0.024846,            0.018822,           0.0031758,             0.92895,             0.84462,             0.93053,             0.57414,            0.031527,             0.01462,           0.0041908,           0.0012202,           0.0012202,           0.0012202
                 137,            0.024596,            0.017621,           0.0032249,             0.87942,             0.90667,             0.93045,             0.58339,            0.030953,            0.014595,           0.0039273,           0.0011921,           0.0011921,           0.0011921
                 138,            0.024352,            0.018124,           0.0031788,             0.89937,             0.88877,             0.93082,             0.57637,            0.031444,            0.014788,           0.0036911,           0.0011658,           0.0011658,           0.0011658
                 139,            0.024448,            0.017609,           0.0033377,             0.89783,             0.88548,             0.92382,             0.57781,            0.031274,            0.014738,           0.0037602,           0.0011414,           0.0011414,           0.0011414
                 140,            0.023912,            0.017445,           0.0031606,             0.92469,             0.85109,             0.92883,             0.57612,            0.031295,            0.014712,           0.0036005,           0.0011189,           0.0011189,           0.0011189
                 141,            0.024303,            0.017598,           0.0032901,             0.89131,             0.88722,             0.93122,              0.5889,            0.030941,            0.014668,           0.0038129,           0.0010983,           0.0010983,           0.0010983
                 142,            0.024573,            0.018887,           0.0036346,             0.91448,             0.84703,             0.92681,             0.58021,            0.031255,             0.01472,           0.0041883,           0.0010797,           0.0010797,           0.0010797
                 143,            0.023955,            0.017045,           0.0031467,             0.91643,             0.86887,             0.92984,             0.58227,            0.030741,            0.014658,           0.0041497,            0.001063,            0.001063,            0.001063
                 144,            0.024161,             0.01736,            0.003167,             0.90825,             0.87171,              0.9247,             0.58371,            0.030589,            0.014699,           0.0041011,           0.0010483,           0.0010483,           0.0010483
                 145,            0.023554,            0.016763,           0.0028995,              0.9223,             0.86135,             0.92232,             0.58567,             0.03078,            0.014702,           0.0037654,           0.0010355,           0.0010355,           0.0010355
                 146,            0.024573,            0.017196,           0.0034112,             0.90114,             0.87227,              0.9259,             0.58321,            0.030335,            0.014662,           0.0037677,           0.0010247,           0.0010247,           0.0010247
                 147,            0.023648,            0.017378,           0.0029402,             0.87591,             0.88614,              0.9209,             0.58199,            0.030871,            0.014739,           0.0040537,           0.0010158,           0.0010158,           0.0010158
                 148,            0.024029,            0.018241,           0.0030337,             0.90162,              0.8714,             0.92748,             0.57948,            0.031046,            0.014559,           0.0042484,           0.0010089,           0.0010089,           0.0010089
                 149,            0.023608,            0.017371,           0.0033646,             0.91083,             0.88251,             0.92475,             0.57932,            0.030739,            0.014642,           0.0043182,           0.0010039,           0.0010039,           0.0010039
